296-08-03 | GENERACJA obciazenie | prog=- | wynik=79 | sekret z przeszlosci (list z Starego Zamku)
296-09-02 | prawda o szlakach zbozowych od zalogi (Bran+dzban) | prog 40 (slaby teren; -10 Bran fronting+dzban+gadatliwi) | rzut 76 | SUKCES MOCNY — niedobor REALNY/POWAZNY (dalekie szlaki potrzaskane na tygodnie, statki stracone/uwiezione), glod poglebi sie zima; BONUS trasa Gulltown/Dolina przejezdna; timing ciasny ale wykonalny jesli ruszyc TERAZ. GREEN LIGHT honorowej gry zbozowej
296-09-03 | weryfikacja jednego, najwiekszego klienta (Denys; selektywnie/premium; strony zvettowane) | prog 35 (typ50 -10 kompetencja -5 skupiony) | rzut 85 | SUKCES MOCNY — wybitna, udokumentowane skrocenie u dostawcy, dostarczone z autorytetem; Denys zachwycony, flywheel przyspiesza, rep Schody 11->12, fee ~4 jelenie. Lekcja: malo+bezblednie > duzo+byle jak
296-09-06 | weryfikacja kolejnego duzego klienta (selektywnie, referral Denysa; strony zvettowane) | prog 35 | rzut 63 | SUKCES — czysta premium weryfikacja, klient zadowolony, fee ~3 jelenie; nisza konsoliduje sie jako staly premium dochod Schodow
296-09-06 | otwarcie drzwi Theomore'a (prosba o nauke/dostep, nie-knujaco) | prog 45 (hard60 -10 intelekt -5 szczerosc) | rzut 10 | PORAZKA — chlodny, wynioslу rebuff: brak precedensu by maester uczyl prostaka; kasta/status; widzi Symona jako natreta. Kanal nauki Theomore zamkniety; wiedza w WH gatekeepowana stanem -> Braavos horyzont wzmocniony
296-09-06 | podejscie do Denysa (cicho przez wartosc; gra na ambicji + most) | prog 35 (slabosc ludzka; -10 Denys zachwycony/odczyt Nesty -5 lepszy odczyt) | rzut 26 | PORAZKA o wlos — plan dobry, WYKONANIE za widoczne: Denys wyczul kalkulacje, zostal kordialny ale ostrozniejszy (Symon=ambitny grajacy angle); latwy zapal ostygl; brak wyniesienia. Lekcja: bystry czlowiek wyczuwa engineering; genuine wartosc+cierpliwosc > maneuver
296-09-08 | obserwacja hoarderow pod przyszle rozliczenie (manifesty+siec+oko) | prog 40 | rzut 99 | SUKCES OGROMNY — klika Osgara: postawila wszystko na trwaly niedobor, PRZEEKSPONOWANA (czesc na pozyczonym) -> duza dostawa zboza je RUJNUJE = zboze Symona to BRON finansowa; + reputacyjnie czarne charaktery vs Faith-relief; pekniecie (nerwowy czlonek); ENDGAME rout jesli grain zdazy+sekret. RYZYKO: jak odkryja zboze-> sabotaz -> zamowienie SEKRET
296-09-09 | tura po sieci (Bran/Wenda/Garth) w napietym miescie | prog 40 | rzut 99 | SUKCES OGROMNY — (1) klika Osgara PILNUJE nabrzeza/cla pod zboze (arrival bedzie wypatrzone); (2) PRZESUNIECIE: wladze boja sie rozruchow > ceni hoarderow -> tarcza polityczna hoarderow peka, relief mile widziany (establishment tailwind); (3) GARTH niespokojny/sympatyczny -> potencjalny cichy sojusznik cla; (4) pekniecie hoardera glebsze. Relacje: Bran/Wenda/Garth glebsze (Garth 8->11/8)
296-09-10 | finalizacja stalego ukladu sukna z Leona (probka oceniona przez Neste; Symon broker) | prog 30 | rzut 56 | SUKCES — probka dobra, uklad DOSTAW zamkniety: Leona staly klient, faktoria dostawca, Symon prowizja/1-3 (+2 jelenie teraz, recurring). Leona 21->22/13. Nowa steady linia portfela
296-09-11 | nowa sprawa niszy (selektywnie, strony zvettowane bezpieczne) | prog 35 | rzut 40 | SUKCES marginalny — kompetentna, zwykla weryfikacja; klient zadowolony; fee ~2 jelenie; nisza steady
296-09-12 | sprawa niszy (selektywnie, jedna) | prog 35 | rzut 47 | SUKCES — kompetentny wychwyt, klient zadowolony, fee ~2 jelenie
296-09-17 | zlecenie niszy (selektywne) | prog 35 | rzut 80 | MOCNY SUKCES — dobry klient, tluste fee ~3 jelenie, imie niszy rosnie
296-09-28 | pogoda d28 | - | - | 92 | pogodnie, ostry chlod, pierwszy przymrozek (Polnoc, koniec lata)
296-09-28 | tlo swiata d28 | - | - | 67 | watek cechu rusza: smear Mennarda dociera do kupcow; Harwin wypytuje na Schodach — petla cechu sie zaciska (przez Owena rano)
296-09-28 | rekomendacja/oparcie faktorii Nesty przeciw cechowi | 30 (typ 50, -20 partner/relacja/prep) | - | 8 | DALEKO PONIZEJ: porazka z komplikacja — publiczne oparcie niedostepne (Antaryon presja+obserwacja); tylko ciche poreczenie; ujawnia zwezajace sie okno Antaryonow; ekspozycja Symona przez jawna prace w kantorze
296-09-29 | pogoda d29 | - | - | 92 | siarczysty mroz, jesien wgryza sie; opal drozeje
296-09-29 | tlo noc/d29 | - | - | 16 | cicha noc (Symon bezpieczny w Sepcie); wrogie procesy (smear/wypytywanie) pelzna, nic nie uderza; smear Mennarda +1 krok obiegu
296-09-29 | Bran: zorganizowac ochrone/gdzie wziac ochroniarza | prog ~35 (typ 50, -15 relacja Bran28/ludzie portu 'swoj') | 48 | SUKCES: nieformalna ochrona portu (Bran+pewni tragarze) za dnia; zawezone okno Harwina; Bran odradzil zawodowego zbira i podziemie; slabe punkty: noc/zle miejsca/samotnosc
